類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),無,認識1~5的數
先備關係(Prerequisite),認識1~5的數,認識6~10的數
先備關係(Prerequisite),"認識1~5的數
認識6~10的數",1~10的做數
先備關係(Prerequisite),1~10的做數,認識0
先備關係(Prerequisite),無,認識長度
先備關係(Prerequisite),認識長度,長度的直接比較
先備關係(Prerequisite),無,直線和曲線
先備關係(Prerequisite),"長度的直接比較
直線和曲線",曲線的長度比較
先備關係(Prerequisite),長度的直接比較,厚薄的直接比較
先備關係(Prerequisite),長度的直接比較,高矮的直接比較
先備關係(Prerequisite),"曲線的長度比較
長度的直接比較",認識遠近
先備關係(Prerequisite),"長度的直接比較
厚薄的直接比較
高矮的直接比較",長度、厚薄、高矮的混合和進階比較(基準點不同)
先備關係(Prerequisite),1~10的做數,4~10的分解
先備關係(Prerequisite),4~10的分解,4~10的合成
先備關係(Prerequisite),"4~10的分解
4~10的合成",10的分與合
先備關係(Prerequisite),"認識1~5的數
認識6~10的數",10以內的序數
先備關係(Prerequisite),無,認識前後
先備關係(Prerequisite),無,認識左右
先備關係(Prerequisite),10以內的序數,數之數詞序列的前後關係
先備關係(Prerequisite),"1~10的做數
10以內的序數",基數與序數的差異
先備關係(Prerequisite),1~10的做數,10以內比多少、大小
先備關係(Prerequisite),認識6~10的數,認識11~20的數
先備關係(Prerequisite),操作立體形體(透過堆高和滾動分辨平平的面和彎彎的面),分類立體形體(形體樣子)
先備關係(Prerequisite),認識11~20的數,認識21~30的數
先備關係(Prerequisite),"1~10的做數
認識21~30的數",1~30的做數
先備關係(Prerequisite),"認識11~20的數
認識21~30的數",30以內的序數
先備關係(Prerequisite),1~30的做數,30以內的大小比較
先備關係(Prerequisite),10的分與合,10以內的加法
先備關係(Prerequisite),10以內的加法,被加數或加數是0的加法
先備關係(Prerequisite),10以內的加法,認識加法算式
先備關係(Prerequisite),10以內的加法,加法交換律
先備關係(Prerequisite),10以內的加法,熟練10以內的加法心算(心算卡)
先備關係(Prerequisite),無,操作立體形體(透過堆高和滾動分辨平平的面和彎彎的面)
先備關係(Prerequisite),無,直觀分類平面圖形
先備關係(Prerequisite),直觀分類平面圖形,點數平面圖形的數量
先備關係(Prerequisite),直觀分類平面圖形,分辨日常生活中的平面圖形
先備關係(Prerequisite),10的分與合,10以內的減法
先備關係(Prerequisite),10以內的減法,減數或差是0的減法
先備關係(Prerequisite),10以內的減法,認識減法算式
先備關係(Prerequisite),10以內的減法,熟練10以內的減法心算(心算卡)
先備關係(Prerequisite),"10以內的加法
10以內的減法",判斷加減法時機（10以內）
先備關係(Prerequisite),無,事情的先後
先備關係(Prerequisite),無,時間長短的比較
先備關係(Prerequisite),認識鐘面（含長針、短針）,認識整點鐘
先備關係(Prerequisite),長度的直接比較,認識鐘面（含長針、短針）
先備關係(Prerequisite),"認識整點鐘
認識幾點半",認識數字鐘（整點和半點）
先備關係(Prerequisite),認識整點鐘,認識幾點半
先備關係(Prerequisite),"事情的先後
認識整點鐘",認識上午、中午、下午的用語
先備關係(Prerequisite),"事情的先後
認識整點鐘
認識幾點半",透過一天的時間認識整點鐘和半點鐘
先備關係(Prerequisite),"事情的先後
認識整點鐘
認識幾點半",幾小時之前，幾小時之後（整點或半點）
先備關係(Prerequisite),認識21~30的數,認識50以內的數
先備關係(Prerequisite),認識50以內的數,認識100以內的數
先備關係(Prerequisite),1~30的做數,10個一數
先備關係(Prerequisite),認識100以內的數,5個一數
先備關係(Prerequisite),1~30的做數,2個一數
先備關係(Prerequisite),十和一的關係與換算,認識個位和十位及位值單位換算
先備關係(Prerequisite),認識50以內的數,十和一的關係與換算
先備關係(Prerequisite),認識50以內的數,50以內的序數
先備關係(Prerequisite),認識100以內的數,100以內的序數
先備關係(Prerequisite),認識50以內的數,50以內的大小比較
先備關係(Prerequisite),"50以內的大小比較
認識100以內的數",100以內的數及大小比較
先備關係(Prerequisite),"認識100以內的數
2個一數
5個一數
10個一數",百數表
先備關係(Prerequisite),10＋一位數,一位數加一位數（進位）
先備關係(Prerequisite),10以內的加法,10＋一位數
先備關係(Prerequisite),長度的個別單位比較,路徑長短與個別單位數量的關係
先備關係(Prerequisite),一位數加一位數（進位）,熟練18以內的加法心算（心算卡）
先備關係(Prerequisite),一位數加一位數（進位）,透過同數相加計算，解決相鄰算式的問題（已知5+5=10，求5+6）
