Types,Prerequisite,Target
Prerequisite,無,數的判斷
Prerequisite,數的判斷,以正負數表示相反的量
Prerequisite,無,在數線上讀整數點
Prerequisite,無,利用數線比較數的大小
Prerequisite,無,三一律
Prerequisite,無,遞移律
Prerequisite,數的判斷,求相反數
Prerequisite,無,絕對值的意義
Prerequisite,利用數線比較數的大小,比較絕對值的大小
Prerequisite,絕對值的意義,以絕對值符號表示數線上兩點間的距離
Prerequisite,無,同號數相加
Prerequisite,無,異號數相加
Prerequisite,無,與0相加
Prerequisite,無,加法交換律
Prerequisite,無,加法結合律
Prerequisite,無,正數-負數
Prerequisite,無,負數-正數
Prerequisite,無,負數-負數
Prerequisite,無,去括號規則
Prerequisite,無,數線上兩點的距離
Prerequisite,數線上兩點的距離,數線上中點坐標
Prerequisite,無,整數的乘法
Prerequisite,無,乘法交換律
Prerequisite,無,乘法結合律
Prerequisite,無,整數的除法
Prerequisite,去括號規則,乘法對加減法的分配律
Prerequisite,"整數的加減法
整數的乘法
整數的除法",整數的四則運算
Prerequisite,整數的四則運算,整數運算的應用問題
Prerequisite,整數的乘法,底數為整數的指數記法
Prerequisite,整數的乘法,底數為整數的乘方計算
Prerequisite,整數的乘法,底數為10的乘方計算
Prerequisite,整數的四則運算,底數為整數的乘方的四則運算
Prerequisite,整數的乘法,比較底數為整數的指數大小
Prerequisite,無,以科學記號表示正數
Prerequisite,以科學記號表示正數,判斷科學記號的位數
Prerequisite,以科學記號表示正數,比較科學記號的大小
Prerequisite,無,因數與倍數
Prerequisite,無,2的倍數判別法
Prerequisite,無,5的倍數判別法
Prerequisite,2的倍數判別法,4的倍數判別法
Prerequisite,無,3的倍數判別法
Prerequisite,3的倍數判別法,9的倍數判別法
Prerequisite,無,11的倍數判別法
Prerequisite,無,質數與合數的定義
Prerequisite,無,判斷100以內的質數
Prerequisite,倍數判別法,質數的篩法
Prerequisite,無,質因數
Prerequisite,質因數,質因數分解
Prerequisite,質因數分解,標準分解式
Prerequisite,標準分解式,利用標準分解式求因數與倍數
Prerequisite,無,公因數與最大公因數
Prerequisite,無,最大公因數的應用問題
Prerequisite,無,公倍數與最小公倍數
Prerequisite,無,最小公倍數的應用問題
Prerequisite,無,等值分數與最簡分數
Prerequisite,利用數線比較數的大小,比較分數的大小
Prerequisite,無,同分數的加減法
Prerequisite,無,異分數的加減法
Prerequisite,無,帶分數的加減法
Prerequisite,無,分數的乘法
Prerequisite,無,倒數
Prerequisite,無,分數的除法
Prerequisite,整數的四則運算,數的四則運算(含小數)
Prerequisite,數的四則運算(含小數),分數運算的應用問題
Prerequisite,底數為整數的乘方計算,底數為分數、小數的乘方運算
Prerequisite,比較底數為整數的指數大小,比較底數為分數、小數的指數大小
Prerequisite,底數為分數、小數的乘方運算,指數律：a^mxb^n=a^m+n
Prerequisite,底數為分數、小數的乘方運算,指數律：a^m/b^n=a^m-n
Prerequisite,底數為分數、小數的乘方運算,指數律：(a^m)^n=a^mxn
Prerequisite,底數為分數、小數的乘方運算,指數律：(axb)^m=a^mxb^m
Prerequisite,底數為分數、小數的乘方運算,指數律的運算
Prerequisite,指數律的運算,指數律的應用
Prerequisite,無,比與比值的意義
Prerequisite,無,比的運算
Prerequisite,無,比的應用問題
Prerequisite,比與比值的意義,比例式的意義
Prerequisite,比例式的意義,比例式的運算性質
Prerequisite,比例式的運算性質,比例式的應用問題
Prerequisite,無,正比的意義
Prerequisite,正比的意義,正比的運算
Prerequisite,正比的運算,正比的應用
Prerequisite,無,反比的意義
Prerequisite,反比的意義,反比的運算
Prerequisite,反比的運算,反比的應用
Prerequisite,乘法對加減法的分配律,分配律
Prerequisite,"整數的四則運算
分數的四則運算",和的平方公式
Prerequisite,"整數的四則運算
分數的四則運算",差的平方公式
Prerequisite,"整數的四則運算
分數的四則運算",平方差公式
Prerequisite,"分配律
和的平方公式
差的平方公式
平方差公式",利用乘法公式比較大小
Prerequisite,"分配律
和的平方公式
差的平方公式
平方差公式",乘法公式的應用問題
Prerequisite,公因數與最大公因數,連比的意義
Prerequisite,公倍數與最小公倍數,由兩組比求連比
Prerequisite,比例式的運算性質,連比例式的運算性質
Prerequisite,連比例式的運算性質,利用連比例式性質求連比
Prerequisite,連比例式的運算性質,連比的應用問題
Prerequisite,無,認識根號
Prerequisite,認識根號,比較平方根的大小
Prerequisite,底數為整數的指數記法,完全平方數
Prerequisite,認識根號,利用標準分解式求值 
Prerequisite,無,十分逼近法
Prerequisite,無,電算器
Prerequisite,無,平方根的意義
Prerequisite,"認識根號
完全平方數",求小數和整數的平方根
Prerequisite,平方根的意義,平方根的應用
Prerequisite,無,根式的意義
Prerequisite,無,根式的乘法
Prerequisite,無,根式的除法
Prerequisite,無,有理化分母-分母為根號
Prerequisite,無,有理化分母-分母為根式
Prerequisite,無,同類方根
Prerequisite,同類方根,根式的加減法
Prerequisite,"整數的四則運算
數的四則運算(含小數)
同類方根
有理化分母與最簡根式",根式的四則運算
Prerequisite,根式的四則運算,方根運算的應用
Prerequisite,無,數列的意義
Prerequisite,無,數列的規律
Prerequisite,無,圖形的規律
Prerequisite,"整數的加法
整數的減法
分數的加減法
根式的加減法",認識等差數列
Prerequisite,"整數的四則運算
數的四則運算(含小數)
根式的四則運算",求等差數列的首項、公差、第n項
Prerequisite,求等差數列的首項、公差、第n項,等差數列的應用
Prerequisite,分數的四則運算,等差中項的定義
Prerequisite,等差中項的定義,等差中項的應用
Prerequisite,認識等差數列,判斷等差級數
Prerequisite,"整數的四則運算
分數的四則運算
根式的四則運算",等差級數和公式的應用
Prerequisite,等差數列的應用,等差級數的應用
Prerequisite,"整數的乘法
整數的除法
分數的乘法
分數的除法
根式的乘法
根式的除法",認識等比數列
Prerequisite,"整數的乘法
整數的除法
分數的乘法
分數的除法
根式的乘法
根式的除法",求等比數列的首項、公比、第n項
Prerequisite,求等比數列的首項、公比、第n項,等比數列的應用
Prerequisite,無,等比中項的定義
Prerequisite,等比中項的定義,等比中項的應用
Prerequisite,無,代數式的簡記
Prerequisite,數的四則運算(含小數),求代數式的值
Prerequisite,無,一元一次式的意義(含項和係數)
Prerequisite,無,列一元一次式
Prerequisite,分數的加減法,一元一次式的加減運算
Prerequisite,"分數的乘法
分數的除法",一元一次式與數的乘除運算
Prerequisite,數的四則運算(含小數),一元一次式的四則運算
Prerequisite,無,一元一次方程式的意義
Prerequisite,無,檢驗一元一次方程式的解
Prerequisite,無,列一元一次方程式
Prerequisite,無,利用等量公理解一元一次方程式(含驗算)
Prerequisite,等量公理,利用移項法則解一元一次方程式(含驗算)
Prerequisite,"列一元一次方程式
利用移項法則解一元一次方程式(含驗算)",一元一次方程式的應用問題
Prerequisite,一元一次式的意義(含項和係數),二元一次式的意義(含項、係數和同類項)
Prerequisite,列一元一次式,列二元一次式
Prerequisite,求代數式的值,求二元一次式的值
Prerequisite,一元一次式的四則運算,二元一次式的加減運算
Prerequisite,一元一次式的四則運算,二元一次式的乘除運算
Prerequisite,一元一次方程式的意義,二元一次方程式的意義
Prerequisite,列二元一次式,列二元一次方程式
Prerequisite,檢驗一元一次方程式的解,檢驗二元一次方程式的解
