標籤(Label),編號(ID),名稱(Name),學制(Education System),學科(Subject),是否為根結點(IsRoot),主題(Topic),次主題(Unit),概念(Concept),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識1~5的數,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識6~10的數,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,1~10的做數,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識0,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識長度,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度的直接比較,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,直線和曲線,國小(Elementary school),數學(Math),,形,x,認識直線和曲線,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,曲線的長度比較,國小(Elementary school),數學(Math),,形,x,認識直線和曲線,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,厚薄的直接比較,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,高矮的直接比較,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識遠近,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度、厚薄、高矮的混合和進階比較(基準點不同),國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,4~10的分解,國小(Elementary school),數學(Math),,計算,x,10以內分與合,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,4~10的合成,國小(Elementary school),數學(Math),,計算,x,10以內分與合,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10的分與合,國小(Elementary school),數學(Math),,計算,x,10以內分與合,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10以內的序數,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識前後,國小(Elementary school),數學(Math),,關係和代數,x,認識方位,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識左右,國小(Elementary school),數學(Math),,關係和代數,x,認識方位,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,數之數詞序列的前後關係,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,基數與序數的差異,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10以內比多少、大小,國小(Elementary school),數學(Math),,數,x,數到10,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識11~20的數,國小(Elementary school),數學(Math),,數,x,數到30,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,分類立體形體(形體樣子),國小(Elementary school),數學(Math),,形,x,立體,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識21~30的數,國小(Elementary school),數學(Math),,數,x,數到30,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,1~30的做數,國小(Elementary school),數學(Math),,數,x,數到30,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,30以內的序數,國小(Elementary school),數學(Math),,數,x,數到30,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,30以內的大小比較,國小(Elementary school),數學(Math),,數,x,數到30,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10以內的加法,國小(Elementary school),數學(Math),,計算,x,10以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,被加數或加數是0的加法,國小(Elementary school),數學(Math),,計算,x,10以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識加法算式,國小(Elementary school),數學(Math),,計算,x,10以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,加法交換律,國小(Elementary school),數學(Math),,關係和代數,x,關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,熟練10以內的加法心算(心算卡),國小(Elementary school),數學(Math),,計算,x,10以內的加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,操作立體形體(透過堆高和滾動分辨平平的面和彎彎的面),國小(Elementary school),數學(Math),,形,x,立體,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,直觀分類平面圖形,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,點數平面圖形的數量,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,分辨日常生活中的平面圖形,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10以內的減法,國小(Elementary school),數學(Math),,計算,x,10以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,減數或差是0的減法,國小(Elementary school),數學(Math),,計算,x,10以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識減法算式,國小(Elementary school),數學(Math),,計算,x,10以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,熟練10以內的減法心算(心算卡),國小(Elementary school),數學(Math),,計算,x,10以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,判斷加減法時機（10以內）,國小(Elementary school),數學(Math),,計算,x,10以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,事情的先後,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,時間長短的比較,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識整點鐘,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識鐘面（含長針、短針）,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識數字鐘（整點和半點）,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識幾點半,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識上午、中午、下午的用語,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過一天的時間認識整點鐘和半點鐘,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,幾小時之前，幾小時之後（整點或半點）,國小(Elementary school),數學(Math),,量,x,幾點鐘和幾點半,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識50以內的數,國小(Elementary school),數學(Math),,數,x,數到50,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識100以內的數,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,5個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,2個一數,國小(Elementary school),數學(Math),,數,x,幾個一數,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識個位和十位及位值單位換算,國小(Elementary school),數學(Math),,數,x,數到100,,,,,,,,,,,,,,,,,
