Label,ID,Name,Education System,Subject,IsRoot,第一層知識,第二層知識,第三層知識,Learning Performance,,,,,,,,,,,,,,,,
KnowledgePoint,,有理數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,有理數的稠密性,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,尺規作圖,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數的四則運算,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數的次序性質,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,無理數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,無理數的性質,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,無理數的證明,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,無理數的逼近,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數系,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數的其他性質（除了次序性）,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,乘法展開公式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,分解因式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,分式的四則運算,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,分母有理化,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,雙重根式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,根式的運算,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,算幾不等式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,絕對值的意義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,數線上兩點的距離,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,分點公式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,絕對值的一次不等式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,絕對值的一次方程式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,整數指數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,整數指數的指數律,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,有理數指數的大小關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,有理數指數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,有理數指數的指數律,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,正實數的正n次方根,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數指數的大小關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數指數的指數律,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數指數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,實數指數的逼近,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,科學記號與有效數字,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,科學記號與數字的位數,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,科學記號的運算,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,常用對數的定義,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,直線的斜率,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,一般式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,點斜式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,斜截式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,截距式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,垂直直線與斜率的關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,平行直線與斜率的關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,點到直線的距離,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,兩平行直線的距離,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,對稱點,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,二元一次不等式的解區域,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,投影點,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,圓的標準式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,圓的一般式,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,點與圓的位置關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,圓與直線的關係,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
KnowledgePoint,,過圓上一已知點的切線,Senior High School,math,,,,,,,,,,,,,,,,,,,,,
